LGA_NAME16	EmploymentStatus	Sex	workers
Greater Geraldton (C)		F	77
Greater Geraldton (C)		M	74
Greater Geraldton (C)	Contributing family workers	F	176
Greater Geraldton (C)	Contributing family workers	M	147
Greater Geraldton (C)	Employee	F	7081
Greater Geraldton (C)	Employee	M	6121
Greater Geraldton (C)	Owner managers of incorporated enterprises	F	313
Greater Geraldton (C)	Owner managers of incorporated enterprises	M	614
Greater Geraldton (C)	Owner managers of unincorporated enterprises	F	459
Greater Geraldton (C)	Owner managers of unincorporated enterprises	M	640
Halls Creek (S)		F	5
Halls Creek (S)		M	10
Halls Creek (S)	Contributing family workers	F	4
Halls Creek (S)	Contributing family workers	M	3
Halls Creek (S)	Employee	F	405
Halls Creek (S)	Employee	M	435
Halls Creek (S)	Owner managers of incorporated enterprises	F	7
Halls Creek (S)	Owner managers of incorporated enterprises	M	19
Halls Creek (S)	Owner managers of unincorporated enterprises	F	8
Halls Creek (S)	Owner managers of unincorporated enterprises	M	16
Harvey (S)		F	30
Harvey (S)		M	47
Harvey (S)	Contributing family workers	F	102
Harvey (S)	Contributing family workers	M	114
Harvey (S)	Employee	F	2542
Harvey (S)	Employee	M	2850
Harvey (S)	Owner managers of incorporated enterprises	F	106
Harvey (S)	Owner managers of incorporated enterprises	M	204
Harvey (S)	Owner managers of unincorporated enterprises	F	249
Harvey (S)	Owner managers of unincorporated enterprises	M	376
Irwin (S)		F	6
Irwin (S)		M	14
Irwin (S)	Contributing family workers	F	34
Irwin (S)	Contributing family workers	M	26
Irwin (S)	Employee	F	400
Irwin (S)	Employee	M	312
Irwin (S)	Owner managers of incorporated enterprises	F	41
Irwin (S)	Owner managers of incorporated enterprises	M	61
Irwin (S)	Owner managers of unincorporated enterprises	F	53
Irwin (S)	Owner managers of unincorporated enterprises	M	76
Jerramungup (S)		F	3
Jerramungup (S)		M	12
Jerramungup (S)	Contributing family workers	F	31
Jerramungup (S)	Contributing family workers	M	44
Jerramungup (S)	Employee	F	143
Jerramungup (S)	Employee	M	138
Jerramungup (S)	Owner managers of incorporated enterprises	F	25
Jerramungup (S)	Owner managers of incorporated enterprises	M	40
Jerramungup (S)	Owner managers of unincorporated enterprises	F	44
Jerramungup (S)	Owner managers of unincorporated enterprises	M	104
Joondalup (C)		F	181
Joondalup (C)		M	154
Joondalup (C)	Contributing family workers	F	406
Joondalup (C)	Contributing family workers	M	262
Joondalup (C)	Employee	F	24978
Joondalup (C)	Employee	M	12567
Joondalup (C)	Owner managers of incorporated enterprises	F	1102
Joondalup (C)	Owner managers of incorporated enterprises	M	2050
Joondalup (C)	Owner managers of unincorporated enterprises	F	1920
Joondalup (C)	Owner managers of unincorporated enterprises	M	2428
Kalamunda (S)		F	46
Kalamunda (S)		M	73
Kalamunda (S)	Contributing family workers	F	153
Kalamunda (S)	Contributing family workers	M	120
Kalamunda (S)	Employee	F	5442
Kalamunda (S)	Employee	M	6083
Kalamunda (S)	Owner managers of incorporated enterprises	F	360
Kalamunda (S)	Owner managers of incorporated enterprises	M	770
Kalamunda (S)	Owner managers of unincorporated enterprises	F	580
Kalamunda (S)	Owner managers of unincorporated enterprises	M	852
Kalgoorlie/Boulder (C)		F	49
Kalgoorlie/Boulder (C)		M	73
Kalgoorlie/Boulder (C)	Contributing family workers	F	71
Kalgoorlie/Boulder (C)	Contributing family workers	M	61
Kalgoorlie/Boulder (C)	Employee	F	5922
Kalgoorlie/Boulder (C)	Employee	M	7457
Kalgoorlie/Boulder (C)	Owner managers of incorporated enterprises	F	207
Kalgoorlie/Boulder (C)	Owner managers of incorporated enterprises	M	455
Kalgoorlie/Boulder (C)	Owner managers of unincorporated enterprises	F	250
Kalgoorlie/Boulder (C)	Owner managers of unincorporated enterprises	M	274
Karratha (C)		F	50
Karratha (C)		M	70
Karratha (C)	Contributing family workers	F	48
Karratha (C)	Contributing family workers	M	14
Karratha (C)	Employee	F	4074
Karratha (C)	Employee	M	8166
Karratha (C)	Owner managers of incorporated enterprises	F	117
Karratha (C)	Owner managers of incorporated enterprises	M	278
Karratha (C)	Owner managers of unincorporated enterprises	F	147
Karratha (C)	Owner managers of unincorporated enterprises	M	114
Katanning (S)		F	6
Katanning (S)		M	13
Katanning (S)	Contributing family workers	F	31
Katanning (S)	Contributing family workers	M	32
Katanning (S)	Employee	F	752
Katanning (S)	Employee	M	724
Katanning (S)	Owner managers of incorporated enterprises	F	27
Katanning (S)	Owner managers of incorporated enterprises	M	71
Katanning (S)	Owner managers of unincorporated enterprises	F	63
Katanning (S)	Owner managers of unincorporated enterprises	M	105
Kellerberrin (S)		F	4
Kellerberrin (S)		M	3
Kellerberrin (S)	Contributing family workers	F	9
Kellerberrin (S)	Contributing family workers	M	16
Kellerberrin (S)	Employee	F	170
Kellerberrin (S)	Employee	M	119
Kellerberrin (S)	Owner managers of incorporated enterprises	F	7
Kellerberrin (S)	Owner managers of incorporated enterprises	M	13
Kellerberrin (S)	Owner managers of unincorporated enterprises	F	24
Kellerberrin (S)	Owner managers of unincorporated enterprises	M	53
Kent (S)		F	3
Kent (S)		M	5
Kent (S)	Contributing family workers	F	16
Kent (S)	Contributing family workers	M	28
Kent (S)	Employee	F	50
Kent (S)	Employee	M	59
Kent (S)	Owner managers of incorporated enterprises	F	12
Kent (S)	Owner managers of incorporated enterprises	M	26
Kent (S)	Owner managers of unincorporated enterprises	F	23
Kent (S)	Owner managers of unincorporated enterprises	M	55
Kojonup (S)		F	4
Kojonup (S)		M	7
Kojonup (S)	Contributing family workers	F	53
Kojonup (S)	Contributing family workers	M	79
Kojonup (S)	Employee	F	285
Kojonup (S)	Employee	M	220
Kojonup (S)	Owner managers of incorporated enterprises	F	28
Kojonup (S)	Owner managers of incorporated enterprises	M	61
Kojonup (S)	Owner managers of unincorporated enterprises	F	77
Kojonup (S)	Owner managers of unincorporated enterprises	M	132
Kondinin (S)		F	8
Kondinin (S)		M	3
Kondinin (S)	Contributing family workers	F	18
Kondinin (S)	Contributing family workers	M	35
Kondinin (S)	Employee	F	155
Kondinin (S)	Employee	M	322
Kondinin (S)	Owner managers of incorporated enterprises	F	21
Kondinin (S)	Owner managers of incorporated enterprises	M	55
Kondinin (S)	Owner managers of unincorporated enterprises	F	24
Kondinin (S)	Owner managers of unincorporated enterprises	M	47
Koorda (S)		F	3
Koorda (S)		M	3
Koorda (S)	Contributing family workers	F	5
Koorda (S)	Contributing family workers	M	10
Koorda (S)	Employee	F	42
Koorda (S)	Employee	M	55
Koorda (S)	Owner managers of incorporated enterprises	F	5
Koorda (S)	Owner managers of incorporated enterprises	M	18
Koorda (S)	Owner managers of unincorporated enterprises	F	16
Koorda (S)	Owner managers of unincorporated enterprises	M	32
Kulin (S)		M	4
Kulin (S)	Contributing family workers	F	24
Kulin (S)	Contributing family workers	M	37
Kulin (S)	Employee	F	67
Kulin (S)	Employee	M	85
Kulin (S)	Owner managers of incorporated enterprises	F	23
Kulin (S)	Owner managers of incorporated enterprises	M	41
Kulin (S)	Owner managers of unincorporated enterprises	F	40
Kulin (S)	Owner managers of unincorporated enterprises	M	68
Kwinana (C)		F	29
Kwinana (C)		M	64
Kwinana (C)	Contributing family workers	F	61
Kwinana (C)	Contributing family workers	M	53
Kwinana (C)	Employee	F	3932
Kwinana (C)	Employee	M	7369
Kwinana (C)	Owner managers of incorporated enterprises	F	136
Kwinana (C)	Owner managers of incorporated enterprises	M	371
Kwinana (C)	Owner managers of unincorporated enterprises	F	251
Kwinana (C)	Owner managers of unincorporated enterprises	M	388
Lake Grace (S)		M	11
Lake Grace (S)	Contributing family workers	F	54
Lake Grace (S)	Contributing family workers	M	42
Lake Grace (S)	Employee	F	181
Lake Grace (S)	Employee	M	213
Lake Grace (S)	Owner managers of incorporated enterprises	F	24
Lake Grace (S)	Owner managers of incorporated enterprises	M	61
Lake Grace (S)	Owner managers of unincorporated enterprises	F	54
Lake Grace (S)	Owner managers of unincorporated enterprises	M	125
Laverton (S)		M	14
Laverton (S)	Contributing family workers	F	3
Laverton (S)	Employee	F	331
Laverton (S)	Employee	M	1996
Laverton (S)	Owner managers of incorporated enterprises	M	21
Laverton (S)	Owner managers of unincorporated enterprises	M	6
Leonora (S)		F	3
Leonora (S)		M	6
Leonora (S)	Contributing family workers	M	3
Leonora (S)	Employee	F	398
Leonora (S)	Employee	M	1795
Leonora (S)	Owner managers of incorporated enterprises	F	6
Leonora (S)	Owner managers of incorporated enterprises	M	27
Leonora (S)	Owner managers of unincorporated enterprises	F	12
Leonora (S)	Owner managers of unincorporated enterprises	M	22
Mandurah (C)		F	105
Mandurah (C)		M	103
Mandurah (C)	Contributing family workers	F	231
Mandurah (C)	Contributing family workers	M	128
Mandurah (C)	Employee	F	11254
Mandurah (C)	Employee	M	6225
Mandurah (C)	Owner managers of incorporated enterprises	F	502
Mandurah (C)	Owner managers of incorporated enterprises	M	804
Mandurah (C)	Owner managers of unincorporated enterprises	F	854
Mandurah (C)	Owner managers of unincorporated enterprises	M	1098
Manjimup (S)		F	42
Manjimup (S)		M	44
Manjimup (S)	Contributing family workers	F	110
Manjimup (S)	Contributing family workers	M	134
Manjimup (S)	Employee	F	1590
Manjimup (S)	Employee	M	1432
Manjimup (S)	Owner managers of incorporated enterprises	F	117
Manjimup (S)	Owner managers of incorporated enterprises	M	192
Manjimup (S)	Owner managers of unincorporated enterprises	F	172
Manjimup (S)	Owner managers of unincorporated enterprises	M	308
Meekatharra (S)		F	3
Meekatharra (S)		M	7
Meekatharra (S)	Contributing family workers	F	8
Meekatharra (S)	Contributing family workers	M	14
Meekatharra (S)	Employee	F	253
Meekatharra (S)	Employee	M	883
Meekatharra (S)	Owner managers of incorporated enterprises	F	3
Meekatharra (S)	Owner managers of incorporated enterprises	M	11
Meekatharra (S)	Owner managers of unincorporated enterprises	F	18
Meekatharra (S)	Owner managers of unincorporated enterprises	M	25
Melville (C)		F	146
Melville (C)		M	132
Melville (C)	Contributing family workers	F	263
Melville (C)	Contributing family workers	M	245
Melville (C)	Employee	F	21815
Melville (C)	Employee	M	12141
Melville (C)	Owner managers of incorporated enterprises	F	963
Melville (C)	Owner managers of incorporated enterprises	M	1686
Melville (C)	Owner managers of unincorporated enterprises	F	1255
Melville (C)	Owner managers of unincorporated enterprises	M	1445
Menzies (S)	Employee	F	123
Menzies (S)	Employee	M	551
Menzies (S)	Owner managers of unincorporated enterprises	M	4
Merredin (S)		F	4
Merredin (S)		M	5
Merredin (S)	Contributing family workers	F	33
Merredin (S)	Contributing family workers	M	35
Merredin (S)	Employee	F	593
Merredin (S)	Employee	M	551
Merredin (S)	Owner managers of incorporated enterprises	F	37
Merredin (S)	Owner managers of incorporated enterprises	M	80
Merredin (S)	Owner managers of unincorporated enterprises	F	40
Merredin (S)	Owner managers of unincorporated enterprises	M	96
Mingenew (S)	Contributing family workers	F	10
Mingenew (S)	Contributing family workers	M	3
Mingenew (S)	Employee	F	62
Mingenew (S)	Employee	M	86
Mingenew (S)	Owner managers of incorporated enterprises	F	14
Mingenew (S)	Owner managers of incorporated enterprises	M	22
Mingenew (S)	Owner managers of unincorporated enterprises	F	18
Mingenew (S)	Owner managers of unincorporated enterprises	M	30
Moora (S)		F	10
Moora (S)		M	11
Moora (S)	Contributing family workers	F	31
Moora (S)	Contributing family workers	M	46
Moora (S)	Employee	F	423
Moora (S)	Employee	M	360
Moora (S)	Owner managers of incorporated enterprises	F	32
Moora (S)	Owner managers of incorporated enterprises	M	82
Moora (S)	Owner managers of unincorporated enterprises	F	52
Moora (S)	Owner managers of unincorporated enterprises	M	107
Morawa (S)		M	5
Morawa (S)	Contributing family workers	F	13
Morawa (S)	Contributing family workers	M	16
Morawa (S)	Employee	F	120
Morawa (S)	Employee	M	100
Morawa (S)	Owner managers of incorporated enterprises	F	10
Morawa (S)	Owner managers of incorporated enterprises	M	18
Morawa (S)	Owner managers of unincorporated enterprises	F	13
Morawa (S)	Owner managers of unincorporated enterprises	M	33
Mosman Park (T)		F	6
Mosman Park (T)		M	8
Mosman Park (T)	Contributing family workers	F	34
Mosman Park (T)	Contributing family workers	M	21
Mosman Park (T)	Employee	F	1328
Mosman Park (T)	Employee	M	605
Mosman Park (T)	Owner managers of incorporated enterprises	F	72
Mosman Park (T)	Owner managers of incorporated enterprises	M	147
Mosman Park (T)	Owner managers of unincorporated enterprises	F	102
Mosman Park (T)	Owner managers of unincorporated enterprises	M	106
Mount Magnet (S)		M	3
Mount Magnet (S)	Contributing family workers	F	3
Mount Magnet (S)	Contributing family workers	M	3
Mount Magnet (S)	Employee	F	89
Mount Magnet (S)	Employee	M	195
Mount Magnet (S)	Owner managers of incorporated enterprises	F	3
Mount Magnet (S)	Owner managers of incorporated enterprises	M	16
Mount Magnet (S)	Owner managers of unincorporated enterprises	F	9
Mount Magnet (S)	Owner managers of unincorporated enterprises	M	17
Mount Marshall (S)		F	5
Mount Marshall (S)		M	4
Mount Marshall (S)	Contributing family workers	F	16
Mount Marshall (S)	Contributing family workers	M	22
Mount Marshall (S)	Employee	F	51
Mount Marshall (S)	Employee	M	58
Mount Marshall (S)	Owner managers of incorporated enterprises	F	10
Mount Marshall (S)	Owner managers of incorporated enterprises	M	25
Mount Marshall (S)	Owner managers of unincorporated enterprises	F	29
Mount Marshall (S)	Owner managers of unincorporated enterprises	M	56
Mukinbudin (S)	Contributing family workers	F	11
Mukinbudin (S)	Contributing family workers	M	21
Mukinbudin (S)	Employee	F	62
Mukinbudin (S)	Employee	M	77
Mukinbudin (S)	Owner managers of incorporated enterprises	F	10
Mukinbudin (S)	Owner managers of incorporated enterprises	M	17
Mukinbudin (S)	Owner managers of unincorporated enterprises	F	16
Mukinbudin (S)	Owner managers of unincorporated enterprises	M	35
Mundaring (S)		F	33
Mundaring (S)		M	44
Mundaring (S)	Contributing family workers	F	135
Mundaring (S)	Contributing family workers	M	103
Mundaring (S)	Employee	F	3389
Mundaring (S)	Employee	M	3112
Mundaring (S)	Owner managers of incorporated enterprises	F	262
Mundaring (S)	Owner managers of incorporated enterprises	M	512
Mundaring (S)	Owner managers of unincorporated enterprises	F	508
Mundaring (S)	Owner managers of unincorporated enterprises	M	654
Murchison (S)	Contributing family workers	F	3
Murchison (S)	Contributing family workers	M	3
Murchison (S)	Employee	F	18
Murchison (S)	Employee	M	32
Murchison (S)	Owner managers of incorporated enterprises	F	3
Murchison (S)	Owner managers of incorporated enterprises	M	6
Murchison (S)	Owner managers of unincorporated enterprises	M	4
Murray (S)		F	18
Murray (S)		M	32
Murray (S)	Contributing family workers	F	79
Murray (S)	Contributing family workers	M	65
Murray (S)	Employee	F	1773
Murray (S)	Employee	M	2719
Murray (S)	Owner managers of incorporated enterprises	F	121
Murray (S)	Owner managers of incorporated enterprises	M	177
Murray (S)	Owner managers of unincorporated enterprises	F	162
Murray (S)	Owner managers of unincorporated enterprises	M	255
Nannup (S)		F	3
Nannup (S)		M	6
Nannup (S)	Contributing family workers	F	19
Nannup (S)	Contributing family workers	M	27
Nannup (S)	Employee	F	160
Nannup (S)	Employee	M	140
Nannup (S)	Owner managers of incorporated enterprises	F	10
Nannup (S)	Owner managers of incorporated enterprises	M	20
Nannup (S)	Owner managers of unincorporated enterprises	F	35
Nannup (S)	Owner managers of unincorporated enterprises	M	51
Narembeen (S)		M	4
Narembeen (S)	Contributing family workers	F	19
Narembeen (S)	Contributing family workers	M	24
Narembeen (S)	Employee	F	100
Narembeen (S)	Employee	M	113
Narembeen (S)	Owner managers of incorporated enterprises	F	14
Narembeen (S)	Owner managers of incorporated enterprises	M	42
Narembeen (S)	Owner managers of unincorporated enterprises	F	13
Narembeen (S)	Owner managers of unincorporated enterprises	M	52
Narrogin (S)		F	16
Narrogin (S)		M	18
Narrogin (S)	Contributing family workers	F	46
Narrogin (S)	Contributing family workers	M	49
Narrogin (S)	Employee	F	1071
Narrogin (S)	Employee	M	758
Narrogin (S)	Owner managers of incorporated enterprises	F	38
Narrogin (S)	Owner managers of incorporated enterprises	M	103
Narrogin (S)	Owner managers of unincorporated enterprises	F	82
Narrogin (S)	Owner managers of unincorporated enterprises	M	160
Nedlands (C)		F	64
Nedlands (C)		M	51
Nedlands (C)	Contributing family workers	F	89
Nedlands (C)	Contributing family workers	M	61
Nedlands (C)	Employee	F	11436
Nedlands (C)	Employee	M	6829
Nedlands (C)	Owner managers of incorporated enterprises	F	314
Nedlands (C)	Owner managers of incorporated enterprises	M	599
Nedlands (C)	Owner managers of unincorporated enterprises	F	362
Nedlands (C)	Owner managers of unincorporated enterprises	M	521
Ngaanyatjarraku (S)	Employee	F	173
Ngaanyatjarraku (S)	Employee	M	159
Ngaanyatjarraku (S)	Owner managers of unincorporated enterprises	M	3
Northam (S)		F	36
Northam (S)		M	37
Northam (S)	Contributing family workers	F	59
Northam (S)	Contributing family workers	M	69
Northam (S)	Employee	F	1935
Northam (S)	Employee	M	1663
Northam (S)	Owner managers of incorporated enterprises	F	66
Northam (S)	Owner managers of incorporated enterprises	M	154
Northam (S)	Owner managers of unincorporated enterprises	F	136
Northam (S)	Owner managers of unincorporated enterprises	M	204
Northampton (S)		F	5
Northampton (S)		M	6
Northampton (S)	Contributing family workers	F	56
Northampton (S)	Contributing family workers	M	60
Northampton (S)	Employee	F	396
Northampton (S)	Employee	M	313
Northampton (S)	Owner managers of incorporated enterprises	F	36
Northampton (S)	Owner managers of incorporated enterprises	M	71
Northampton (S)	Owner managers of unincorporated enterprises	F	71
Northampton (S)	Owner managers of unincorporated enterprises	M	145
Nungarin (S)	Contributing family workers	F	4
Nungarin (S)	Contributing family workers	M	8
Nungarin (S)	Employee	F	20
Nungarin (S)	Employee	M	15
Nungarin (S)	Owner managers of incorporated enterprises	M	8
Nungarin (S)	Owner managers of unincorporated enterprises	F	3
Nungarin (S)	Owner managers of unincorporated enterprises	M	12
Peppermint Grove (S)		F	3
Peppermint Grove (S)	Contributing family workers	F	12
Peppermint Grove (S)	Contributing family workers	M	4
Peppermint Grove (S)	Employee	F	588
Peppermint Grove (S)	Employee	M	308
Peppermint Grove (S)	Owner managers of incorporated enterprises	F	31
Peppermint Grove (S)	Owner managers of incorporated enterprises	M	50
Peppermint Grove (S)	Owner managers of unincorporated enterprises	F	40
Peppermint Grove (S)	Owner managers of unincorporated enterprises	M	54
Perenjori (S)		M	9
Perenjori (S)	Contributing family workers	F	16
Perenjori (S)	Contributing family workers	M	20
Perenjori (S)	Employee	F	119
Perenjori (S)	Employee	M	528
Perenjori (S)	Owner managers of incorporated enterprises	F	3
Perenjori (S)	Owner managers of incorporated enterprises	M	26
Perenjori (S)	Owner managers of unincorporated enterprises	F	13
Perenjori (S)	Owner managers of unincorporated enterprises	M	35
Perth (C)		F	296
Perth (C)		M	348
Perth (C)	Contributing family workers	F	199
Perth (C)	Contributing family workers	M	233
Perth (C)	Employee	F	59379
Perth (C)	Employee	M	61194
Perth (C)	Owner managers of incorporated enterprises	F	960
Perth (C)	Owner managers of incorporated enterprises	M	3170
Perth (C)	Owner managers of unincorporated enterprises	F	815
Perth (C)	Owner managers of unincorporated enterprises	M	1911
Pingelly (S)		M	5
Pingelly (S)	Contributing family workers	F	14
Pingelly (S)	Contributing family workers	M	18
Pingelly (S)	Employee	F	107
Pingelly (S)	Employee	M	80
Pingelly (S)	Owner managers of incorporated enterprises	F	19
Pingelly (S)	Owner managers of incorporated enterprises	M	30
Pingelly (S)	Owner managers of unincorporated enterprises	F	19
Pingelly (S)	Owner managers of unincorporated enterprises	M	40
Plantagenet (S)		F	16
Plantagenet (S)		M	29
Plantagenet (S)	Contributing family workers	F	87
Plantagenet (S)	Contributing family workers	M	108
Plantagenet (S)	Employee	F	596
Plantagenet (S)	Employee	M	792
Plantagenet (S)	Owner managers of incorporated enterprises	F	32
Plantagenet (S)	Owner managers of incorporated enterprises	M	75
Plantagenet (S)	Owner managers of unincorporated enterprises	F	98
Plantagenet (S)	Owner managers of unincorporated enterprises	M	196
Port Hedland (T)		F	42
Port Hedland (T)		M	71
Port Hedland (T)	Contributing family workers	F	20
Port Hedland (T)	Contributing family workers	M	24
Port Hedland (T)	Employee	F	2933
Port Hedland (T)	Employee	M	5888
Port Hedland (T)	Owner managers of incorporated enterprises	F	70
Port Hedland (T)	Owner managers of incorporated enterprises	M	216
Port Hedland (T)	Owner managers of unincorporated enterprises	F	83
Port Hedland (T)	Owner managers of unincorporated enterprises	M	131
Quairading (S)		M	6
Quairading (S)	Contributing family workers	F	9
Quairading (S)	Contributing family workers	M	18
Quairading (S)	Employee	F	111
Quairading (S)	Employee	M	90
Quairading (S)	Owner managers of incorporated enterprises	F	6
Quairading (S)	Owner managers of incorporated enterprises	M	27
Quairading (S)	Owner managers of unincorporated enterprises	F	32
Quairading (S)	Owner managers of unincorporated enterprises	M	59
Ravensthorpe (S)		F	3
Ravensthorpe (S)		M	11
Ravensthorpe (S)	Contributing family workers	F	36
Ravensthorpe (S)	Contributing family workers	M	36
Ravensthorpe (S)	Employee	F	237
Ravensthorpe (S)	Employee	M	533
Ravensthorpe (S)	Owner managers of incorporated enterprises	F	18
Ravensthorpe (S)	Owner managers of incorporated enterprises	M	33
Ravensthorpe (S)	Owner managers of unincorporated enterprises	F	39
Ravensthorpe (S)	Owner managers of unincorporated enterprises	M	71
Rockingham (C)		F	125
Rockingham (C)		M	107
Rockingham (C)	Contributing family workers	F	281
Rockingham (C)	Contributing family workers	M	194
Rockingham (C)	Employee	F	15059
Rockingham (C)	Employee	M	10456
Rockingham (C)	Owner managers of incorporated enterprises	F	489
Rockingham (C)	Owner managers of incorporated enterprises	M	905
Rockingham (C)	Owner managers of unincorporated enterprises	F	1125
Rockingham (C)	Owner managers of unincorporated enterprises	M	1318
Sandstone (S)	Contributing family workers	M	3
Sandstone (S)	Employee	F	19
Sandstone (S)	Employee	M	15
Sandstone (S)	Owner managers of unincorporated enterprises	M	7
Serpentine-Jarrahdale (S)		F	24
Serpentine-Jarrahdale (S)		M	27
Serpentine-Jarrahdale (S)	Contributing family workers	F	107
Serpentine-Jarrahdale (S)	Contributing family workers	M	79
Serpentine-Jarrahdale (S)	Employee	F	1638
Serpentine-Jarrahdale (S)	Employee	M	1552
Serpentine-Jarrahdale (S)	Owner managers of incorporated enterprises	F	158
Serpentine-Jarrahdale (S)	Owner managers of incorporated enterprises	M	297
Serpentine-Jarrahdale (S)	Owner managers of unincorporated enterprises	F	256
Serpentine-Jarrahdale (S)	Owner managers of unincorporated enterprises	M	436
Shark Bay (S)		M	4
Shark Bay (S)	Contributing family workers	F	6
Shark Bay (S)	Employee	F	166
Shark Bay (S)	Employee	M	173
Shark Bay (S)	Owner managers of incorporated enterprises	F	11
Shark Bay (S)	Owner managers of incorporated enterprises	M	22
Shark Bay (S)	Owner managers of unincorporated enterprises	F	10
Shark Bay (S)	Owner managers of unincorporated enterprises	M	29
South Perth (C)		F	52
South Perth (C)		M	43
South Perth (C)	Contributing family workers	F	113
South Perth (C)	Contributing family workers	M	102
South Perth (C)	Employee	F	6245
South Perth (C)	Employee	M	4091
South Perth (C)	Owner managers of incorporated enterprises	F	344
South Perth (C)	Owner managers of incorporated enterprises	M	792
South Perth (C)	Owner managers of unincorporated enterprises	F	484
South Perth (C)	Owner managers of unincorporated enterprises	M	597
Stirling (C)		F	249
Stirling (C)		M	359
Stirling (C)	Contributing family workers	F	446
Stirling (C)	Contributing family workers	M	410
Stirling (C)	Employee	F	33046
Stirling (C)	Employee	M	29943
Stirling (C)	Owner managers of incorporated enterprises	F	1598
Stirling (C)	Owner managers of incorporated enterprises	M	3856
Stirling (C)	Owner managers of unincorporated enterprises	F	2185
Stirling (C)	Owner managers of unincorporated enterprises	M	3399
Subiaco (C)		F	71
Subiaco (C)		M	80
Subiaco (C)	Contributing family workers	F	72
Subiaco (C)	Contributing family workers	M	79
Subiaco (C)	Employee	F	13799
Subiaco (C)	Employee	M	9357
Subiaco (C)	Owner managers of incorporated enterprises	F	473
Subiaco (C)	Owner managers of incorporated enterprises	M	1144
Subiaco (C)	Owner managers of unincorporated enterprises	F	451
Subiaco (C)	Owner managers of unincorporated enterprises	M	651
Swan (C)		F	180
Swan (C)		M	262
Swan (C)	Contributing family workers	F	454
Swan (C)	Contributing family workers	M	390
Swan (C)	Employee	F	21205
Swan (C)	Employee	M	25739
Swan (C)	Owner managers of incorporated enterprises	F	1027
Swan (C)	Owner managers of incorporated enterprises	M	2501
Swan (C)	Owner managers of unincorporated enterprises	F	1447
Swan (C)	Owner managers of unincorporated enterprises	M	2207
Tammin (S)		M	3
Tammin (S)	Contributing family workers	F	3
Tammin (S)	Contributing family workers	M	10
Tammin (S)	Employee	F	50
Tammin (S)	Employee	M	55
Tammin (S)	Owner managers of incorporated enterprises	F	8
Tammin (S)	Owner managers of incorporated enterprises	M	21
Tammin (S)	Owner managers of unincorporated enterprises	F	8
Tammin (S)	Owner managers of unincorporated enterprises	M	20
Three Springs (S)		M	3
Three Springs (S)	Contributing family workers	F	16
Three Springs (S)	Contributing family workers	M	12
Three Springs (S)	Employee	F	99
Three Springs (S)	Employee	M	88
Three Springs (S)	Owner managers of incorporated enterprises	F	7
Three Springs (S)	Owner managers of incorporated enterprises	M	19
Three Springs (S)	Owner managers of unincorporated enterprises	F	8
Three Springs (S)	Owner managers of unincorporated enterprises	M	35
Toodyay (S)		F	3
Toodyay (S)		M	12
Toodyay (S)	Contributing family workers	F	35
Toodyay (S)	Contributing family workers	M	40
Toodyay (S)	Employee	F	292
Toodyay (S)	Employee	M	198
Toodyay (S)	Owner managers of incorporated enterprises	F	24
Toodyay (S)	Owner managers of incorporated enterprises	M	59
Toodyay (S)	Owner managers of unincorporated enterprises	F	71
Toodyay (S)	Owner managers of unincorporated enterprises	M	120
Trayning (S)		M	3
Trayning (S)	Contributing family workers	F	4
Trayning (S)	Contributing family workers	M	13
Trayning (S)	Employee	F	44
Trayning (S)	Employee	M	37
Trayning (S)	Owner managers of incorporated enterprises	F	8
Trayning (S)	Owner managers of incorporated enterprises	M	19
Trayning (S)	Owner managers of unincorporated enterprises	F	7
Trayning (S)	Owner managers of unincorporated enterprises	M	22
Upper Gascoyne (S)	Contributing family workers	M	3
Upper Gascoyne (S)	Employee	F	23
Upper Gascoyne (S)	Employee	M	42
Upper Gascoyne (S)	Owner managers of incorporated enterprises	M	4
Victoria Park (T)		F	83
Victoria Park (T)		M	102
Victoria Park (T)	Contributing family workers	F	121
Victoria Park (T)	Contributing family workers	M	111
Victoria Park (T)	Employee	F	12219
Victoria Park (T)	Employee	M	12699
Victoria Park (T)	Owner managers of incorporated enterprises	F	394
Victoria Park (T)	Owner managers of incorporated enterprises	M	990
Victoria Park (T)	Owner managers of unincorporated enterprises	F	408
Victoria Park (T)	Owner managers of unincorporated enterprises	M	867
Victoria Plains (S)		F	7
Victoria Plains (S)		M	11
Victoria Plains (S)	Contributing family workers	F	31
Victoria Plains (S)	Contributing family workers	M	37
Victoria Plains (S)	Employee	F	91
Victoria Plains (S)	Employee	M	170
Victoria Plains (S)	Owner managers of incorporated enterprises	F	15
Victoria Plains (S)	Owner managers of incorporated enterprises	M	35
Victoria Plains (S)	Owner managers of unincorporated enterprises	F	28
Victoria Plains (S)	Owner managers of unincorporated enterprises	M	55
Vincent (C)		F	72
Vincent (C)		M	80
Vincent (C)	Contributing family workers	F	144
Vincent (C)	Contributing family workers	M	114
Vincent (C)	Employee	F	8986
Vincent (C)	Employee	M	7941
Vincent (C)	Owner managers of incorporated enterprises	F	517
Vincent (C)	Owner managers of incorporated enterprises	M	1202
Vincent (C)	Owner managers of unincorporated enterprises	F	709
Vincent (C)	Owner managers of unincorporated enterprises	M	893
Wagin (S)		F	8
Wagin (S)		M	6
Wagin (S)	Contributing family workers	F	24
Wagin (S)	Contributing family workers	M	29
Wagin (S)	Employee	F	219
