SA4_NAME16	HoursWorked.min	IndustryOfEmployment	workers
Mornington Peninsula	40	Financial and insurance services	302
Mornington Peninsula	40	Health care and social assistance	2042
Mornington Peninsula	40	Information media and telecommunications	127
Mornington Peninsula	40	Manufacturing	1369
Mornington Peninsula	40	Mining	31
Mornington Peninsula	40	Other services	668
Mornington Peninsula	40	Professional scientific and technical services	792
Mornington Peninsula	40	Public administration and safety	1074
Mornington Peninsula	40	Rental hiring and real estate services	332
Mornington Peninsula	40	Retail trade	1198
Mornington Peninsula	40	Transport postal and warehousing	364
Mornington Peninsula	40	Wholesale trade	387
Mornington Peninsula	41		256
Mornington Peninsula	41	Accommodation and food services	405
Mornington Peninsula	41	Administrative and support services	166
Mornington Peninsula	41	Agriculture forestry and fishing	101
Mornington Peninsula	41	Arts and recreation services	140
Mornington Peninsula	41	Construction	1091
Mornington Peninsula	41	Education and training	731
Mornington Peninsula	41	Electricity gas water and waste services	145
Mornington Peninsula	41	Financial and insurance services	111
Mornington Peninsula	41	Health care and social assistance	788
Mornington Peninsula	41	Information media and telecommunications	42
Mornington Peninsula	41	Manufacturing	776
Mornington Peninsula	41	Mining	24
Mornington Peninsula	41	Other services	352
Mornington Peninsula	41	Professional scientific and technical services	315
Mornington Peninsula	41	Public administration and safety	800
Mornington Peninsula	41	Rental hiring and real estate services	148
Mornington Peninsula	41	Retail trade	697
Mornington Peninsula	41	Transport postal and warehousing	239
Mornington Peninsula	41	Wholesale trade	203
Mornington Peninsula	49		493
Mornington Peninsula	49	Accommodation and food services	682
Mornington Peninsula	49	Administrative and support services	250
Mornington Peninsula	49	Agriculture forestry and fishing	248
Mornington Peninsula	49	Arts and recreation services	270
Mornington Peninsula	49	Construction	1764
Mornington Peninsula	49	Education and training	1262
Mornington Peninsula	49	Electricity gas water and waste services	147
Mornington Peninsula	49	Financial and insurance services	179
Mornington Peninsula	49	Health care and social assistance	909
Mornington Peninsula	49	Information media and telecommunications	67
Mornington Peninsula	49	Manufacturing	938
Mornington Peninsula	49	Mining	65
Mornington Peninsula	49	Other services	479
Mornington Peninsula	49	Professional scientific and technical services	709
Mornington Peninsula	49	Public administration and safety	594
Mornington Peninsula	49	Rental hiring and real estate services	324
Mornington Peninsula	49	Retail trade	1029
Mornington Peninsula	49	Transport postal and warehousing	379
Mornington Peninsula	49	Wholesale trade	303
North West			624
North West		Accommodation and food services	71
North West		Administrative and support services	26
North West		Agriculture forestry and fishing	194
North West		Arts and recreation services	11
North West		Construction	51
North West		Education and training	48
North West		Electricity gas water and waste services	6
North West		Financial and insurance services	10
North West		Health care and social assistance	98
North West		Information media and telecommunications	5
North West		Manufacturing	41
North West		Mining	7
North West		Other services	32
North West		Professional scientific and technical services	20
North West		Public administration and safety	40
North West		Rental hiring and real estate services	3
North West		Retail trade	91
North West		Transport postal and warehousing	41
North West		Wholesale trade	13
North West	0		105
North West	0	Accommodation and food services	129
North West	0	Administrative and support services	56
North West	0	Agriculture forestry and fishing	348
North West	0	Arts and recreation services	28
North West	0	Construction	100
North West	0	Education and training	190
North West	0	Electricity gas water and waste services	39
North West	0	Financial and insurance services	43
North West	0	Health care and social assistance	568
North West	0	Information media and telecommunications	22
North West	0	Manufacturing	107
North West	0	Mining	14
North West	0	Other services	62
North West	0	Professional scientific and technical services	57
North West	0	Public administration and safety	253
North West	0	Rental hiring and real estate services	19
North West	0	Retail trade	263
North West	0	Transport postal and warehousing	99
North West	0	Wholesale trade	47
North West	1		250
North West	1	Accommodation and food services	1358
North West	1	Administrative and support services	324
North West	1	Agriculture forestry and fishing	725
North West	1	Arts and recreation services	176
North West	1	Construction	187
North West	1	Education and training	561
North West	1	Electricity gas water and waste services	27
North West	1	Financial and insurance services	67
North West	1	Health care and social assistance	828
North West	1	Information media and telecommunications	59
North West	1	Manufacturing	295
North West	1	Mining	8
North West	1	Other services	265
North West	1	Professional scientific and technical services	206
North West	1	Public administration and safety	201
North West	1	Rental hiring and real estate services	42
North West	1	Retail trade	1617
North West	1	Transport postal and warehousing	199
North West	1	Wholesale trade	110
North West	16		184
North West	16	Accommodation and food services	529
North West	16	Administrative and support services	220
North West	16	Agriculture forestry and fishing	562
North West	16	Arts and recreation services	61
North West	16	Construction	129
North West	16	Education and training	634
North West	16	Electricity gas water and waste services	39
North West	16	Financial and insurance services	100
North West	16	Health care and social assistance	1507
North West	16	Information media and telecommunications	33
North West	16	Manufacturing	207
North West	16	Mining	12
North West	16	Other services	196
North West	16	Professional scientific and technical services	175
North West	16	Public administration and safety	269
North West	16	Rental hiring and real estate services	44
North West	16	Retail trade	839
North West	16	Transport postal and warehousing	202
North West	16	Wholesale trade	73
North West	25		204
North West	25	Accommodation and food services	457
North West	25	Administrative and support services	233
North West	25	Agriculture forestry and fishing	849
North West	25	Arts and recreation services	77
North West	25	Construction	235
North West	25	Education and training	767
North West	25	Electricity gas water and waste services	34
North West	25	Financial and insurance services	125
North West	25	Health care and social assistance	2003
North West	25	Information media and telecommunications	49
North West	25	Manufacturing	393
North West	25	Mining	13
North West	25	Other services	228
North West	25	Professional scientific and technical services	238
North West	25	Public administration and safety	355
North West	25	Rental hiring and real estate services	47
North West	25	Retail trade	937
North West	25	Transport postal and warehousing	199
North West	25	Wholesale trade	114
North West	35		348
North West	35	Accommodation and food services	461
North West	35	Administrative and support services	354
North West	35	Agriculture forestry and fishing	913
North West	35	Arts and recreation services	115
North West	35	Construction	574
North West	35	Education and training	920
North West	35	Electricity gas water and waste services	172
North West	35	Financial and insurance services	196
North West	35	Health care and social assistance	1616
North West	35	Information media and telecommunications	148
North West	35	Manufacturing	971
North West	35	Mining	26
North West	35	Other services	474
North West	35	Professional scientific and technical services	380
North West	35	Public administration and safety	949
North West	35	Rental hiring and real estate services	128
North West	35	Retail trade	1265
North West	35	Transport postal and warehousing	343
North West	35	Wholesale trade	347
North West	40		391
North West	40	Accommodation and food services	264
North West	40	Administrative and support services	243
North West	40	Agriculture forestry and fishing	1783
North West	40	Arts and recreation services	75
North West	40	Construction	946
North West	40	Education and training	548
North West	40	Electricity gas water and waste services	271
North West	40	Financial and insurance services	193
North West	40	Health care and social assistance	1380
North West	40	Information media and telecommunications	66
North West	40	Manufacturing	1024
North West	40	Mining	56
North West	40	Other services	476
North West	40	Professional scientific and technical services	343
North West	40	Public administration and safety	942
North West	40	Rental hiring and real estate services	82
North West	40	Retail trade	718
North West	40	Transport postal and warehousing	429
North West	40	Wholesale trade	370
North West	41		117
North West	41	Accommodation and food services	152
North West	41	Administrative and support services	102
North West	41	Agriculture forestry and fishing	746
North West	41	Arts and recreation services	47
North West	41	Construction	472
North West	41	Education and training	503
North West	41	Electricity gas water and waste services	73
North West	41	Financial and insurance services	73
North West	41	Health care and social assistance	460
North West	41	Information media and telecommunications	45
North West	41	Manufacturing	485
North West	41	Mining	108
North West	41	Other services	180
North West	41	Professional scientific and technical services	178
North West	41	Public administration and safety	375
North West	41	Rental hiring and real estate services	49
North West	41	Retail trade	506
North West	41	Transport postal and warehousing	217
